"","Group.1","x"
"1","[Bacteroides] pectinophilus",0.235460435255545
"2","[Clostridium] aldenense",0.891548561796181
"3","[Clostridium] bolteae",0.849494765113739
"4","[Clostridium] citroniae",-0.102172124085132
"5","[Clostridium] clariflavum",0.29544325420223
"6","[Clostridium] colinum",-0.00226209758397884
"7","[Clostridium] indolis",0.576832331576352
"8","[Clostridium] leptum",-0.924139609338329
"9","[Clostridium] methylpentosum",-0.768804412548214
"10","[Clostridium] neopropionicum",-0.0141934572856084
"11","[Clostridium] propionicum",-0.922165923295992
"12","[Clostridium] saccharolyticum",-0.197575266562309
"13","[Clostridium] spiroforme",-0.261461376925854
"14","[Clostridium] stercorarium",-0.237138074042475
"15","[Clostridium] symbiosum",2.03437336334628
"16","[Clostridium] viride",-0.508536298137917
"17","[Eubacterium] brachy",-0.495028342969042
"18","[Eubacterium] dolichum",2.00459339695234
"19","[Eubacterium] eligens",0.208412378733505
"20","[Eubacterium] hallii",0.241178084738631
"21","[Eubacterium] rectale",-1.0690095108702
"22","[Eubacterium] siraeum",-0.802019031438032
"23","[Eubacterium] sulci",-0.476941536342898
"24","[Ruminococcus] gnavus",0.670089567234747
"25","[Ruminococcus] torques",0.879655142214514
"26","Acholeplasma palmae",-1.18855964210479
"27","Acidaminococcus intestini",-0.72500627923666
"28","Akkermansia muciniphila",2.41352081676331
"29","Alistipes finegoldii",0.587724391352822
"30","Alistipes onderdonkii",-1.29796452783485
"31","Alistipes putredinis",0.51729554301207
"32","Alistipes shahii",-0.539359109526248
"33","Alistipes timonensis",0.365061213692766
"34","Anaerostipes caccae",1.10272007700893
"35","Anaerotruncus colihominis",0.190144132558071
"36","Bacillus gaemokensis",-0.0204176826201258
"37","Bacteroides caccae",2.30026755849737
"38","Bacteroides cellulosilyticus",3.49244194070415
"39","Bacteroides coprocola",-0.858215099050682
"40","Bacteroides coprophilus",1.49036141238514
"41","Bacteroides dorei",0.723858927554861
"42","Bacteroides fragilis",3.3142268105207
"43","Bacteroides luti",3.26607949012004
"44","Bacteroides massiliensis",-0.0852795664881554
"45","Bacteroides nordii",3.2863386538553
"46","Bacteroides ovatus",1.88459844476114
"47","Bacteroides salyersiae",4.06688507731575
"48","Bacteroides sp. CIP103040",0.783276951500749
"49","Bacteroides stercorirosoris",2.90732023155709
"50","Bacteroides stercoris",0.0192972198442483
"51","Bacteroides thetaiotaomicron",1.21015797451963
"52","Bacteroides uniformis",1.15743972186541
"53","Bacteroides vulgatus",0.122875611355166
"54","Bacteroides xylanisolvens",2.75399875178045
"55","Barnesiella viscericola",-0.0845202028129284
"56","Bifidobacterium angulatum",-0.0390523447071392
"57","Bifidobacterium biavatii",-0.209659973223939
"58","Bifidobacterium bifidum",-2.38862705133436
"59","Bifidobacterium breve",-0.527970243961454
"60","Bifidobacterium catenulatum",-2.28495343734363
"61","Bifidobacterium choerinum",-0.0142555660096022
"62","Bifidobacterium dentium",-1.26911850813004
"63","Bifidobacterium gallicum",-1.02843384892544
"64","Bifidobacterium indicum",-0.630022152960916
"65","Bifidobacterium longum",-0.288298556844363
"66","Bifidobacterium merycicum",-2.07116692575036
"67","Bifidobacterium pseudocatenulatum",-0.387401154132434
"68","Bifidobacterium pseudolongum",-0.172654262249468
"69","Bifidobacterium saeculare",-2.19320070098893
"70","Bifidobacterium scardovii",-0.45367937448365
"71","Blautia coccoides",-0.508914956331216
"72","Blautia glucerasea",2.61815440284898
"73","Blautia hansenii",2.36569762887497
"74","Blautia hydrogenotrophica",-0.375207461077486
"75","Blautia luti",0.0581065567360175
"76","Blautia obeum",-1.86415032018606
"77","Blautia schinkii",-0.266635264211031
"78","Butyricicoccus desmolans",-0.229945742404123
"79","Butyricimonas virosa",2.86692985846889
"80","Butyrivibrio crossotus",0.0247661533271135
"81","Christensenella minuta",-0.516295900750539
"82","Clavibacter michiganensis",0.340762722146788
"83","Clostridioides difficile",0.259156296838597
"84","Clostridium aurantibutyricum",-0.0103672121954531
"85","Clostridium beijerinckii",-0.835177201420434
"86","Clostridium butyricum",2.32785287624297
"87","Clostridium paraputrificum",0.878299870153829
"88","Clostridium puniceum",-0.223110769489765
"89","Clostridium saccharoperbutylacetonicum",0.501307106309801
"90","Clostridium septicum",1.18035807039158
"91","Clostridium sp. ATCC 29733",-0.878258227432677
"92","Clostridium tertium",0.101570926581062
"93","Collinsella aerofaciens",-1.51519770358794
"94","Collinsella intestinalis",0.0820678734511183
"95","Coprococcus comes",0.33493264012173
"96","Coprococcus eutactus",-1.06288767866304
"97","Desulfonispora thiosulfatigenes",0.303649685177637
"98","Desulfovibrio desulfuricans",-0.298087918819272
"99","Dialister invisus",0.845452833497572
"100","Dialister micraerophilus",0.627887784990665
"101","Dialister propionicifaciens",0.880157717759086
"102","Dorea formicigenerans",-0.205404936816257
"103","Dysgonomonas mossii",2.90318848026086
"104","Eggerthella lenta",-0.21802808190656
"105","Eggerthella sp. YY7918",-0.523977984257622
"106","Enterococcus casseliflavus",1.47133174392142
"107","Ethanoligenens harbinense",-0.0858953420465762
"108","Eubacterium ramulus",0.167510912476878
"109","Eubacterium ventriosum",0.231124518775995
"110","Faecalibacterium prausnitzii",-2.89550889826369
"111","Fusobacterium perfoetens",4.95364741454049
"112","Gardnerella vaginalis",-1.24970534990536
"113","Gemmiger formicilis",-1.08899414788504
"114","Gordonibacter pamelaeae",-2.58741786595997
"115","Haemophilus parainfluenzae",0.28371159554538
"116","Hespellia stercorisuis",2.23071932124611
"117","Holdemanella biformis",-0.539092792401567
"118","Kandleria vitulina",1.06562479753428
"119","Lactococcus lactis",0.586463900628635
"120","Megamonas hypermegale",-1.35346110523012
"121","Methanobrevibacter smithii",0.437908497987125
"122","Mitsuokella multacida",-0.127746416281921
"123","Odoribacter splanchnicus",0.969528194859508
"124","Olsenella uli",-0.571907730546505
"125","Oscillibacter valericigenes",-2.36670608590986
"126","Paenibacillus sp. VKM B-2647",-0.317141589079234
"127","Papillibacter cinnamivorans",-0.06480424454206
"128","Parabacteroides distasonis",1.19825335444171
"129","Parabacteroides goldsteinii",3.07153341598302
"130","Parabacteroides johnsonii",-0.454081359500088
"131","Paraclostridium bifermentans",0.963862113786069
"132","Paraprevotella clara",1.14382029149898
"133","Parasutterella excrementihominis",2.54202694501409
"134","Peptoniphilus lacrimalis",-1.1252270372008
"135","Porphyromonas catoniae",-1.06697131437984
"136","Prevotella albensis",0.054498437840814
"137","Prevotella copri",-2.33172396109464
"138","Prevotella denticola",-0.255565084885495
"139","Prevotella disiens",0.724588337562607
"140","Prevotella fusca",-0.43226545647859
"141","Prevotella loescheii",-0.472179650049212
"142","Prevotella salivae",-0.77408904102708
"143","Prevotella shahii",0.136258162919151
"144","Proteus mirabilis",2.06014991268143
"145","Pseudobacteroides cellulosolvens",-0.102903445125523
"146","Pseudobutyrivibrio ruminis",0.704668192590086
"147","Roseburia faecis",-0.0338484308253612
"148","Roseburia hominis",-0.953737522207742
"149","Roseburia inulinivorans",0.0701729492710213
"150","Ruminiclostridium thermocellum",-0.646102784558353
"151","Ruminococcus albus",1.19471725129759
"152","Ruminococcus bromii",-0.571729530975565
"153","Ruminococcus callidus",-1.05192148663359
"154","Ruminococcus champanellensis",-2.49718721544533
"155","Ruminococcus flavefaciens",-0.578530672269872
"156","Ruminococcus lactaris",-0.333251866668266
"157","Ruminococcus sp. DSM 100440",0.639286227831958
"158","Slackia isoflavoniconvertens",0.537270589916957
"159","Spiroplasma lampyridicola",-0.269436320431258
"160","Spiroplasma syrphidicola",-0.629593598088697
"161","Spiroplasma taiwanense",4.24998516636287
"162","Sporobacter termitidis",0.151846777469057
"163","Sporosarcina psychrophila",1.42513535862563
"164","Streptococcus salivarius",-1.44318015817587
"165","Streptococcus thermophilus",-0.128338304560832
"166","Streptococcus vestibularis",-0.631226468829677
"167","Sutterella parvirubra",-0.810433100733391
"168","Sutterella stercoricanis",-0.166395979650911
"169","Veillonella parvula",-2.0844640574064
"170","Veillonella ratti",-1.8571211766169
