mouse,condition,fed
ERR1764005,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764006,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764007,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764009,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764010,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764011,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764012,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764013,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764014,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764015,CRON_[Cohousing]CRONdietRestricted,humanfood
ERR1764016,CRON_DietCRONdietRestricted,humanfood
ERR1764017,CRON_DietCRONdietRestricted,humanfood
ERR1764018,CRON_DietCRONdietRestricted,humanfood
ERR1775908,Control,mousefood
ERR661366,ObeseLow,mousefood
ERR661367,ObeseLow,mousefood
ERR661368,ObeseLow,mousefood
ERR661369,ObeseLow,mousefood
ERR661372,ObeseLow,mousefood
ERR661373,ObeseLow,mousefood
ERR661374,ObeseLow,mousefood
ERR661375,ObeseLow,mousefood
ERR661378,ObeseLow,mousefood
ERR661379,ObeseLow,mousefood
ERR661380,ObeseLow,mousefood
ERR661381,ObeseLow,mousefood
ERR661384,NormalLow,mousefood
ERR661385,NormalLow,mousefood
ERR661386,NormalLow,mousefood
ERR661387,NormalLow,mousefood
ERR661390,ObeseLow,mousefood
ERR661391,ObeseLow,mousefood
ERR661392,ObeseLow,mousefood
ERR661393,ObeseLow,mousefood
ERR661396,ObeseLow,mousefood
ERR661397,ObeseLow,mousefood
ERR661398,ObeseLow,mousefood
ERR661399,ObeseLow,mousefood
ERR661402,NormalLow,mousefood
ERR661403,NormalLow,mousefood
ERR661404,NormalLow,mousefood
ERR661405,NormalLow,mousefood
ERR661408,NormalLow,mousefood
ERR661409,NormalLow,mousefood
ERR661410,NormalLow,mousefood
ERR661411,NormalLow,mousefood
ERR661414,NormalLow,mousefood
ERR661415,NormalLow,mousefood
ERR661416,NormalLow,mousefood
ERR661417,NormalLow,mousefood
ERR661420,NormalLow,mousefood
ERR661421,NormalLow,mousefood
ERR661422,NormalLow,mousefood
ERR661423,NormalLow,mousefood
ERR661426,NormalHigh,mousefood
ERR661427,NormalHigh,mousefood
ERR661428,NormalHigh,mousefood
ERR661429,NormalHigh,mousefood
ERR661432,ObeseHigh,mousefood
ERR661433,ObeseHigh,mousefood
ERR661434,ObeseHigh,mousefood
ERR661435,ObeseHigh,mousefood
ERR661438,ObeseHigh,mousefood
ERR661439,ObeseHigh,mousefood
ERR661440,ObeseHigh,mousefood
ERR661441,ObeseHigh,mousefood
ERR661444,ObeseHigh,mousefood
ERR661445,ObeseHigh,mousefood
ERR661446,ObeseHigh,mousefood
ERR661447,ObeseHigh,mousefood
ERR661450,ObeseHigh,mousefood
ERR661451,ObeseHigh,mousefood
ERR661452,ObeseHigh,mousefood
ERR661453,ObeseHigh,mousefood
ERR661456,NormalHigh,mousefood
ERR661457,NormalHigh,mousefood
ERR661458,NormalHigh,mousefood
ERR661459,NormalHigh,mousefood
ERR661462,NormalHigh,mousefood
ERR661463,NormalHigh,mousefood
ERR661464,NormalHigh,mousefood
ERR661465,NormalHigh,mousefood
ERR661468,ObeseHigh,mousefood
ERR661469,ObeseHigh,mousefood
ERR661470,ObeseHigh,mousefood
ERR661471,ObeseHigh,mousefood
ERR661474,NormalHigh,mousefood
ERR661475,NormalHigh,mousefood
ERR661476,NormalHigh,mousefood
ERR661477,NormalHigh,mousefood
ERR661480,NormalHigh,mousefood
ERR661481,NormalHigh,mousefood
ERR661482,NormalHigh,mousefood
ERR661483,NormalHigh,mousefood
ERR661486,NormalHigh,mousefood
ERR661487,NormalHigh,mousefood
ERR661488,NormalHigh,mousefood
ERR661489,NormalHigh,mousefood
ERR661491,plus,mousefood
ERR661492,plus,mousefood
ERR661493,plus,mousefood
ERR661494,plus,mousefood
ERR661495,plus,mousefood
ERR661496,plus,mousefood
ERR661497,plus,mousefood
ERR661498,plus,mousefood
ERR661499,plus,mousefood
ERR661500,plus,mousefood
ERR661501,plus,mousefood
ERR661502,plus,mousefood
ERR661503,plus,mousefood
ERR661504,plus,mousefood
ERR661505,plus,mousefood
ERR661506,plus,mousefood
ERR661507,plus,mousefood
ERR661508,plus,mousefood
ERR661509,plus,mousefood
ERR661510,plus,mousefood
ERR661533,minus,mousefood
ERR661534,minus,mousefood
ERR661535,minus,mousefood
ERR661536,minus,mousefood
ERR661537,minus,mousefood
ERR661538,minus,mousefood
ERR661539,minus,mousefood
ERR661540,minus,mousefood
ERR661541,minus,mousefood
ERR661542,minus,mousefood
ERR661543,minus,mousefood
ERR661544,minus,mousefood
ERR661545,minus,mousefood
ERR661546,minus,mousefood
ERR661547,minus,mousefood
ERR661548,minus,mousefood
ERR661549,minus,mousefood
ERR661550,minus,mousefood
ERR661551,minus,mousefood
ERR661552,minus,mousefood
ERR661554,plus,mousefood
ERR661555,plus,mousefood
ERR661556,plus,mousefood
ERR661557,plus,mousefood
ERR661558,plus,mousefood
ERR661559,plus,mousefood
ERR661560,plus,mousefood
ERR661561,plus,mousefood
ERR661562,plus,mousefood
ERR661563,plus,mousefood
ERR661564,plus,mousefood
ERR661565,plus,mousefood
ERR661566,plus,mousefood
ERR661567,plus,mousefood
ERR661568,plus,mousefood
ERR661569,plus,mousefood
ERR661570,plus,mousefood
ERR661571,plus,mousefood
ERR661572,plus,mousefood
ERR661573,plus,mousefood
ERR661575,minus,mousefood
ERR661576,minus,mousefood
ERR661577,minus,mousefood
ERR661578,minus,mousefood
ERR661579,minus,mousefood
ERR661580,minus,mousefood
ERR661581,minus,mousefood
ERR661582,minus,mousefood
ERR661583,minus,mousefood
ERR661584,minus,mousefood
ERR661585,minus,mousefood
ERR661586,minus,mousefood
ERR661587,minus,mousefood
ERR661588,minus,mousefood
ERR661589,minus,mousefood
ERR661590,minus,mousefood
ERR661591,minus,mousefood
ERR661592,minus,mousefood
ERR661593,minus,mousefood
ERR661594,minus,mousefood
ERR661596,plus,mousefood
ERR661597,plus,mousefood
ERR661598,plus,mousefood
ERR661599,plus,mousefood
ERR661600,plus,mousefood
ERR661601,plus,mousefood
ERR661602,plus,mousefood
ERR661603,plus,mousefood
ERR661604,plus,mousefood
ERR661605,plus,mousefood
ERR661606,plus,mousefood
ERR661607,plus,mousefood
ERR661608,plus,mousefood
ERR661609,plus,mousefood
ERR661610,plus,mousefood
ERR661611,plus,mousefood
ERR661612,plus,mousefood
ERR661614,plus,mousefood
ERR661615,plus,mousefood
SRR3232108,Control_1,mousefood
SRR3232109,Control_1,mousefood
SRR3232110,Control_1,mousefood
SRR3232111,Control_1,mousefood
SRR3232112,Control_1,mousefood
SRR3232113,Control_1,mousefood
SRR3232114,Control_1,mousefood
SRR3232115,Control_1,mousefood
SRR3232116,Control_2,mousefood
SRR3232117,Control_2,mousefood
SRR3232118,Control_2,mousefood
SRR3232119,Control_2,mousefood
SRR3232120,Control_2,mousefood
SRR3232121,Control_2,mousefood
SRR3232122,Control_2,mousefood
SRR3232123,Control_2,mousefood
SRR3232124,Obese_1,mousefood
SRR3232125,Obese_1,mousefood
SRR3232126,Obese_1,mousefood
SRR3232127,Obese_1,mousefood
SRR3232128,Obese_1,mousefood
SRR3232129,Obese_1,mousefood
SRR3232130,Obese_1,mousefood
SRR3232131,Obese_1,mousefood
SRR3232132,Obese_2,mousefood
SRR3232133,Obese_2,mousefood
SRR3232134,Obese_2,mousefood
SRR3232135,Obese_2,mousefood
SRR3232136,Obese_2,mousefood
SRR3232137,Obese_2,mousefood
SRR3232138,Obese_2,mousefood
SRR3232139,Obese_2,mousefood
SRR3232140,Control_1,mousefood
SRR3232141,Control_1,mousefood
SRR3232142,Control_1,mousefood
SRR3232143,Control_1,mousefood
SRR3232144,Control_1,mousefood
SRR3232145,Control_1,mousefood
SRR3232146,Control_1,mousefood
SRR3232147,Control_1,mousefood
SRR3232148,Control_2,mousefood
SRR3232149,Control_2,mousefood
SRR3232150,Control_2,mousefood
SRR3232151,Control_2,mousefood
SRR3232152,Control_2,mousefood
SRR3232153,Control_2,mousefood
SRR3232154,Control_2,mousefood
SRR3232155,Control_2,mousefood
SRR3232156,Control_2,mousefood
SRR3232157,Obese_1,mousefood
SRR3232158,Obese_1,mousefood
SRR3232159,Obese_1,mousefood
SRR3232160,Obese_1,mousefood
SRR3232161,Obese_1,mousefood
SRR3232162,Obese_1,mousefood
SRR3232163,Obese_1,mousefood
SRR3232164,Obese_1,mousefood
SRR3232165,Obese_2,mousefood
SRR3232166,Obese_2,mousefood
SRR3232167,Obese_2,mousefood
SRR3232168,Obese_2,mousefood
SRR3232169,Obese_2,mousefood
SRR3232170,Obese_2,mousefood
SRR3232171,Obese_2,mousefood
SRR3232172,Obese_2,mousefood
SRR3232173,Control_1,mousefood
SRR3232174,Control_1,mousefood
SRR3232175,Control_1,mousefood
SRR3232176,Control_1,mousefood
SRR3232177,Control_1,mousefood
SRR3232178,Control_1,mousefood
SRR3232179,Control_1,mousefood
SRR3232180,Control_1,mousefood
SRR3232181,Control_1,mousefood
SRR3232182,Control_2,mousefood
SRR3232183,Control_2,mousefood
SRR3232184,Control_2,mousefood
SRR3232185,Control_2,mousefood
SRR3232186,Control_2,mousefood
SRR3232187,Control_2,mousefood
SRR3232188,Control_2,mousefood
SRR3232189,Control_2,mousefood
SRR3232190,Obese_1,mousefood
SRR3232191,Obese_1,mousefood
SRR3232192,Obese_1,mousefood
SRR3232193,Obese_1,mousefood
SRR3232194,Obese_1,mousefood
SRR3232195,Obese_1,mousefood
SRR3232196,Obese_1,mousefood
SRR3232197,Obese_1,mousefood
SRR3232198,Obese_2,mousefood
SRR3232199,Obese_2,mousefood
SRR3232200,Obese_2,mousefood
SRR3232201,Obese_2,mousefood
SRR3232202,Obese_2,mousefood
SRR3232203,Obese_2,mousefood
SRR3232204,Obese_2,mousefood
SRR3232205,Control_1,mousefood
SRR3232206,Control_1,mousefood
SRR3232207,Control_1,mousefood
SRR3232208,Control_1,mousefood
SRR3232209,Control_1,mousefood
SRR3232210,Control_1,mousefood
SRR3232211,Control_1,mousefood
SRR3232212,Control_1,mousefood
SRR3232213,Control_2,mousefood
SRR3232214,Control_2,mousefood
SRR3232215,Control_2,mousefood
SRR3232216,Control_2,mousefood
SRR3232217,Control_2,mousefood
SRR3232218,Control_2,mousefood
SRR3232219,Control_2,mousefood
SRR3232220,Control_2,mousefood
SRR3232221,Obese_1,mousefood
SRR3232222,Obese_1,mousefood
SRR3232223,Obese_1,mousefood
SRR3232224,Obese_1,mousefood
SRR3232225,Obese_1,mousefood
SRR3232226,Obese_1,mousefood
SRR3232227,Obese_1,mousefood
SRR3232228,Obese_1,mousefood
SRR3232229,Obese_2,mousefood
SRR3232230,Obese_2,mousefood
SRR3232231,Obese_2,mousefood
SRR3232232,Obese_2,mousefood
SRR3232233,Obese_2,mousefood
SRR3232234,Obese_2,mousefood
SRR3232235,Obese_2,mousefood
SRR3232236,Obese_2,mousefood
SRR3232237,Control_1,mousefood
SRR3232238,Control_1,mousefood
SRR3232239,Control_1,mousefood
SRR3232240,Control_1,mousefood
SRR3232241,Control_1,mousefood
SRR3232242,Control_1,mousefood
SRR3232243,Control_1,mousefood
SRR3232244,Control_1,mousefood
SRR3232245,Control_1,mousefood
SRR3232246,Control_1,mousefood
SRR3232247,Control_1,mousefood
SRR3232248,Control_1,mousefood
SRR3232249,Control_1,mousefood
SRR3232250,Control_1,mousefood
SRR3232251,Control_1,mousefood
SRR3232252,Control_1,mousefood
SRR3232253,Control_2,mousefood
SRR3232254,Control_2,mousefood
SRR3232255,Control_2,mousefood
SRR3232256,Control_2,mousefood
SRR3232257,Control_2,mousefood
SRR3232258,Control_2,mousefood
SRR3232259,Control_2,mousefood
SRR3232260,Control_2,mousefood
SRR3232261,Control_2,mousefood
SRR3232262,Control_2,mousefood
SRR3232263,Control_2,mousefood
SRR3232264,Control_2,mousefood
SRR3232265,Control_2,mousefood
SRR3232266,Control_2,mousefood
SRR3232267,Control_2,mousefood
SRR3232268,Control_2,mousefood
SRR3232269,Obese_1,mousefood
SRR3232270,Obese_1,mousefood
SRR3232271,Obese_1,mousefood
SRR3232272,Obese_1,mousefood
SRR3232273,Obese_1,mousefood
SRR3232274,Obese_1,mousefood
SRR3232275,Obese_1,mousefood
SRR3232276,Obese_1,mousefood
SRR3232277,Obese_1,mousefood
SRR3232278,Obese_1,mousefood
SRR3232279,Obese_1,mousefood
SRR3232280,Obese_1,mousefood
SRR3232281,Obese_1,mousefood
SRR3232282,Obese_1,mousefood
SRR3232283,Obese_1,mousefood
SRR3232284,Obese_1,mousefood
SRR3232285,Obese_2,mousefood
SRR3232286,Obese_2,mousefood
SRR3232287,Obese_2,mousefood
SRR3232288,Obese_2,mousefood
SRR3232289,Obese_2,mousefood
SRR3232290,Obese_2,mousefood
SRR3232291,Obese_2,mousefood
SRR3232292,Obese_2,mousefood
SRR3232293,Obese_2,mousefood
SRR3232294,Obese_2,mousefood
SRR3232295,Obese_2,mousefood
SRR3232296,Obese_2,mousefood
SRR3232297,Obese_2,mousefood
SRR3232298,Obese_2,mousefood
SRR3232299,Obese_2,mousefood
SRR3232300,Obese_2,mousefood
SRR3232301,Control_1,mousefood
SRR3232302,Control_1,mousefood
SRR3232303,Control_1,mousefood
SRR3232304,Control_1,mousefood
SRR3232305,Control_1,mousefood
SRR3232306,Control_1,mousefood
SRR3232307,Control_1,mousefood
SRR3232308,Control_1,mousefood
SRR3232309,Control_1,mousefood
SRR3232310,Control_1,mousefood
SRR3232311,Control_1,mousefood
SRR3232312,Control_1,mousefood
SRR3232313,Control_1,mousefood
SRR3232314,Control_1,mousefood
SRR3232315,Control_1,mousefood
SRR3232316,Control_1,mousefood
SRR3232317,Control_2,mousefood
SRR3232318,Control_2,mousefood
SRR3232319,Control_2,mousefood
SRR3232320,Control_2,mousefood
SRR3232321,Control_2,mousefood
SRR3232322,Control_2,mousefood
SRR3232323,Control_2,mousefood
SRR3232324,Control_2,mousefood
SRR3232325,Control_2,mousefood
SRR3232326,Control_2,mousefood
SRR3232327,Control_2,mousefood
SRR3232328,Control_2,mousefood
SRR3232329,Control_2,mousefood
SRR3232330,Control_2,mousefood
SRR3232331,Control_2,mousefood
SRR3232332,Control_2,mousefood
SRR3232333,Control_2,mousefood
SRR3232334,Obese_1,mousefood
SRR3232335,Obese_1,mousefood
SRR3232336,Obese_1,mousefood
SRR3232337,Obese_1,mousefood
SRR3232338,Obese_1,mousefood
SRR3232339,Obese_1,mousefood
SRR3232340,Obese_1,mousefood
SRR3232341,Obese_1,mousefood
SRR3232342,Obese_1,mousefood
SRR3232343,Obese_1,mousefood
SRR3232344,Obese_1,mousefood
SRR3232345,Obese_1,mousefood
SRR3232346,Obese_1,mousefood
SRR3232347,Obese_1,mousefood
SRR3232348,Obese_1,mousefood
SRR3232349,Obese_1,mousefood
SRR3232350,Obese_2,mousefood
SRR3232351,Obese_2,mousefood
SRR3232352,Obese_2,mousefood
SRR3232353,Obese_2,mousefood
SRR3232354,Obese_2,mousefood
SRR3232355,Obese_2,mousefood
SRR3232356,Obese_2,mousefood
SRR3232357,Obese_2,mousefood
SRR3232358,Obese_2,mousefood
SRR3232359,Obese_2,mousefood
SRR3232360,Obese_2,mousefood
SRR3232361,Obese_2,mousefood
SRR3232362,Obese_2,mousefood
SRR3232363,Obese_2,mousefood
SRR3232364,Obese_2,mousefood
SRR3232365,Obese_2,mousefood
SRR3232366,Obese_2,mousefood
SRR3232367,Control_1,mousefood
SRR3232368,Control_1,mousefood
SRR3232369,Control_1,mousefood
SRR3232370,Control_1,mousefood
SRR3232371,Control_1,mousefood
SRR3232372,Control_1,mousefood
SRR3232373,Control_1,mousefood
SRR3232374,Control_1,mousefood
SRR3232375,Control_1,mousefood
SRR3232376,Control_1,mousefood
SRR3232377,Control_1,mousefood
SRR3232378,Control_1,mousefood
SRR3232379,Control_2,mousefood
SRR3232380,Control_2,mousefood
SRR3232381,Control_2,mousefood
SRR3232382,Control_2,mousefood
SRR3232383,Control_2,mousefood
SRR3232384,Control_2,mousefood
SRR3232385,Control_2,mousefood
SRR3232386,Control_2,mousefood
SRR3232387,Control_2,mousefood
SRR3232388,Control_2,mousefood
SRR3232389,Control_2,mousefood
SRR3232390,Control_2,mousefood
SRR3232391,Control_2,mousefood
SRR3232392,Control_2,mousefood
SRR3232393,Control_2,mousefood
SRR3232394,Obese_1,mousefood
SRR3232395,Obese_1,mousefood
SRR3232396,Obese_1,mousefood
SRR3232397,Obese_1,mousefood
SRR3232398,Obese_1,mousefood
SRR3232399,Obese_1,mousefood
SRR3232400,Obese_1,mousefood
SRR3232401,Obese_1,mousefood
SRR3232402,Obese_1,mousefood
SRR3232403,Obese_1,mousefood
SRR3232404,Obese_1,mousefood
SRR3232405,Obese_1,mousefood
SRR3232406,Obese_1,mousefood
SRR3232407,Obese_1,mousefood
SRR3232408,Obese_1,mousefood
SRR3232409,Obese_1,mousefood
SRR3232410,Obese_2,mousefood
SRR3232411,Obese_2,mousefood
SRR3232412,Obese_2,mousefood
SRR3232413,Obese_2,mousefood
SRR3232414,Obese_2,mousefood
SRR3232415,Obese_2,mousefood
SRR3232416,Obese_2,mousefood
SRR3232417,Obese_2,mousefood
SRR3232418,Obese_2,mousefood
SRR3232419,Obese_2,mousefood
SRR3232420,Obese_2,mousefood
SRR3232421,Obese_2,mousefood
SRR3232422,Obese_2,mousefood
SRR3232423,Obese_2,mousefood
SRR3232424,Control_1,mousefood
SRR3232425,Control_1,mousefood
SRR3232426,Control_1,mousefood
SRR3232427,Control_1,mousefood
SRR3232428,Control_1,mousefood
SRR3232429,Control_1,mousefood
SRR3232430,Control_1,mousefood
SRR3232431,Control_1,mousefood
SRR3232432,Control_1,mousefood
SRR3232433,Control_1,mousefood
SRR3232434,Control_1,mousefood
SRR3232435,Control_1,mousefood
SRR3232436,Control_1,mousefood
SRR3232437,Control_1,mousefood
SRR3232438,Control_1,mousefood
SRR3232439,Control_2,mousefood
SRR3232440,Control_2,mousefood
SRR3232441,Control_2,mousefood
SRR3232442,Control_2,mousefood
SRR3232443,Control_2,mousefood
SRR3232444,Control_2,mousefood
SRR3232445,Control_2,mousefood
SRR3232446,Control_2,mousefood
SRR3232447,Control_2,mousefood
SRR3232448,Control_2,mousefood
SRR3232449,Control_2,mousefood
SRR3232450,Obese_1,mousefood
SRR3232451,Obese_1,mousefood
SRR3232452,Obese_1,mousefood
SRR3232453,Obese_1,mousefood
SRR3232454,Obese_1,mousefood
SRR3232455,Obese_1,mousefood
SRR3232456,Obese_1,mousefood
SRR3232457,Obese_1,mousefood
SRR3232458,Obese_1,mousefood
SRR3232459,Obese_1,mousefood
SRR3232460,Obese_1,mousefood
SRR3232461,Obese_1,mousefood
SRR3232462,Obese_1,mousefood
SRR3232463,Obese_1,mousefood
SRR3232464,Obese_1,mousefood
SRR3232465,Obese_2,mousefood
SRR3232466,Obese_2,mousefood
SRR3232467,Obese_2,mousefood
SRR3232468,Obese_2,mousefood
SRR3232469,Obese_2,mousefood
SRR3232470,Obese_2,mousefood
SRR3232471,Obese_2,mousefood
SRR3232472,Obese_2,mousefood
SRR3232473,Obese_2,mousefood
SRR3232474,Obese_2,mousefood
SRR3232475,Obese_2,mousefood
SRR3232476,Control_1,mousefood
SRR3232477,Control_1,mousefood
SRR3232478,Control_1,mousefood
SRR3232479,Control_1,mousefood
SRR3232480,Control_1,mousefood
SRR3232481,Control_1,mousefood
SRR3232482,Control_1,mousefood
SRR3232483,Control_1,mousefood
SRR3232484,Control_1,mousefood
SRR3232485,Control_1,mousefood
SRR3232486,Control_1,mousefood
SRR3232487,Control_1,mousefood
SRR3232488,Control_2,mousefood
SRR3232489,Control_2,mousefood
SRR3232490,Control_2,mousefood
SRR3232491,Control_2,mousefood
SRR3232492,Control_2,mousefood
SRR3232493,Control_2,mousefood
SRR3232494,Control_2,mousefood
SRR3232495,Control_2,mousefood
SRR3232496,Control_2,mousefood
SRR3232497,Control_2,mousefood
SRR3232498,Control_2,mousefood
SRR3232499,Control_2,mousefood
SRR3232500,Control_2,mousefood
SRR3232501,Control_2,mousefood
SRR3232502,Obese_1,mousefood
SRR3232503,Obese_1,mousefood
SRR3232504,Obese_1,mousefood
SRR3232505,Obese_1,mousefood
SRR3232506,Obese_1,mousefood
SRR3232507,Obese_1,mousefood
SRR3232508,Obese_1,mousefood
SRR3232509,Obese_1,mousefood
SRR3232510,Obese_1,mousefood
SRR3232511,Obese_1,mousefood
SRR3232512,Obese_1,mousefood
SRR3232513,Obese_1,mousefood
SRR3232514,Obese_2,mousefood
SRR3232515,Obese_2,mousefood
SRR3232516,Obese_2,mousefood
SRR3232517,Obese_2,mousefood
SRR3232518,Obese_2,mousefood
SRR3232519,Obese_2,mousefood
SRR3232520,Obese_2,mousefood
SRR3232521,Obese_2,mousefood
SRR3232522,Obese_2,mousefood
SRR3232523,Obese_2,mousefood
SRR3232524,Obese_2,mousefood
SRR3232525,Obese_2,mousefood
SRR3232526,Obese_2,mousefood
SRR3232527,Obese_2,mousefood
